-0.0214,-0.398,-0.338
-0.0214,-0.397,-0.338
-0.0214,-0.397,-0.339
-0.0214,-0.396,-0.338
-0.0213,-0.396,-0.339
-0.0213,-0.395,-0.339
-0.0213,-0.395,-0.339
-0.0213,-0.393,-0.338
-0.0212,-0.392,-0.339
-0.0212,-0.389,-0.338
-0.0212,-0.388,-0.339
-0.0212,-0.386,-0.338
-0.0211,-0.384,-0.339
-0.0211,-0.381,-0.338
-0.0211,-0.38,-0.339
-0.0211,-0.376,-0.338
-0.021,-0.374,-0.339
-0.021,-0.37,-0.338
-0.021,-0.368,-0.338
-0.021,-0.364,-0.338
-0.0209,-0.361,-0.338
-0.0209,-0.357,-0.337
-0.0209,-0.354,-0.338
-0.0209,-0.35,-0.337
-0.0208,-0.346,-0.337
-0.0208,-0.341,-0.336
-0.0208,-0.338,-0.336
-0.0208,-0.334,-0.336
-0.0207,-0.33,-0.336
-0.0207,-0.324,-0.335
-0.0207,-0.32,-0.335
-0.0207,-0.316,-0.334
-0.0206,-0.312,-0.334
-0.0206,-0.307,-0.333
-0.0206,-0.302,-0.333
-0.0206,-0.297,-0.332
-0.0205,-0.293,-0.332
-0.0205,-0.288,-0.331
-0.0205,-0.283,-0.331
-0.0205,-0.278,-0.331
-0.0204,-0.274,-0.33
-0.0204,-0.269,-0.33
-0.0204,-0.264,-0.33
-0.0204,-0.258,-0.329
-0.0203,-0.254,-0.329
-0.0203,-0.25,-0.329
-0.0203,-0.244,-0.328
-0.0203,-0.238,-0.328
-0.0202,-0.235,-0.327
-0.0202,-0.23,-0.327
-0.0202,-0.225,-0.326
-0.0202,-0.221,-0.324
-0.0201,-0.217,-0.324
-0.0201,-0.212,-0.322
-0.0201,-0.207,-0.321
-0.0201,-0.204,-0.32
-0.02,-0.2,-0.319
-0.02,-0.196,-0.319
-0.02,-0.191,-0.317
-0.02,-0.187,-0.317
-0.0199,-0.183,-0.316
-0.0199,-0.179,-0.315
-0.0199,-0.174,-0.314
-0.0199,-0.171,-0.313
-0.0198,-0.167,-0.312
-0.0198,-0.164,-0.311
-0.0198,-0.159,-0.31
-0.0198,-0.156,-0.309
-0.0197,-0.153,-0.308
-0.0197,-0.149,-0.307
-0.0197,-0.144,-0.305
-0.0197,-0.141,-0.304
-0.0196,-0.138,-0.302
-0.0196,-0.136,-0.301
-0.0196,-0.133,-0.299
-0.0196,-0.129,-0.298
-0.0195,-0.125,-0.296
-0.0195,-0.122,-0.295
-0.0195,-0.119,-0.294
-0.0195,-0.116,-0.292
-0.0194,-0.113,-0.29
-0.0194,-0.11,-0.289
-0.0194,-0.107,-0.287
-0.0194,-0.105,-0.286
-0.0193,-0.101,-0.284
-0.0193,-0.0988,-0.282
-0.0193,-0.0953,-0.279
-0.0193,-0.0934,-0.278
-0.0192,-0.0902,-0.277
-0.0192,-0.0887,-0.276
-0.0192,-0.0855,-0.274
-0.0192,-0.0836,-0.272
-0.0191,-0.0801,-0.269
-0.0191,-0.0781,-0.267
-0.0191,-0.0754,-0.265
-0.0191,-0.0738,-0.263
-0.019,-0.0707,-0.26
-0.019,-0.0691,-0.258
-0.019,-0.0664,-0.255
-0.019,-0.0648,-0.253
